date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:17:05	124900/124900	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221e7e4-548f22de7ba40%22	http://egotype.design/work/web/html/kounter/fonts/linea/linea.eot?	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/fonts/linea/linead41d.eot	(from http://egotype.design/work/web/html/kounter/css/icons/linea.css)
14:17:05	2689/2689	---M--	200	added ('OK')	image/svg+xml	etag:%22a81-548f2296f5180%22	http://egotype.design/work/web/html/kounter/css/icons/photoswipe/icons.svg	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/css/icons/photoswipe/icons.svg	(from http://egotype.design/work/web/html/kounter/css/icons/photoswipe/icons.css)
14:17:07	866/866	---M--	200	added ('OK')	image/gif	etag:%22362-548f2296f5180%22	http://egotype.design/work/web/html/kounter/css/icons/photoswipe/preloader.gif	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/css/icons/photoswipe/preloader.gif	(from http://egotype.design/work/web/html/kounter/css/icons/photoswipe/icons.css)
14:17:11	41056/41056	---M--	200	added ('OK')	text/html	etag:%22a060-548f2318a8380%22	http://egotype.design/work/web/html/kounter/fonts/montserrat/Montserrat-ExtraLight.woff2	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/fonts/montserrat/Montserrat-ExtraLight.html	(from http://egotype.design/work/web/html/kounter/css/style.css)
14:17:15	124744/124744	---M--	200	added ('OK')	application/font-sfnt	etag:%221e748-548f22e9ed540%22	http://egotype.design/work/web/html/kounter/fonts/linea/linea.ttf	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/fonts/linea/linea.ttf	(from http://egotype.design/work/web/html/kounter/css/icons/linea.css)
14:17:19	41320/41320	---M--	200	added ('OK')	text/html	etag:%22a168-548f232231a00%22	http://egotype.design/work/web/html/kounter/fonts/montserrat/Montserrat-Medium.woff2	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/fonts/montserrat/Montserrat-Medium.html	(from http://egotype.design/work/web/html/kounter/css/style.css)
14:17:21	54388/54388	---M--	200	added ('OK')	application/font-woff	etag:%22d474-548f2316bff00%22	http://egotype.design/work/web/html/kounter/fonts/montserrat/Montserrat-ExtraLight.woff	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/fonts/montserrat/Montserrat-ExtraLight.woff	(from http://egotype.design/work/web/html/kounter/css/style.css)
14:17:28	54804/54804	---M--	200	added ('OK')	application/font-woff	etag:%22d614-548f231e61100%22	http://egotype.design/work/web/html/kounter/fonts/montserrat/Montserrat-Medium.woff	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/fonts/montserrat/Montserrat-Medium.woff	(from http://egotype.design/work/web/html/kounter/css/style.css)
14:17:30	40916/40916	---M--	200	added ('OK')	text/html	etag:%229fd4-548f230965f80%22	http://egotype.design/work/web/html/kounter/fonts/montserrat/Montserrat-Bold.woff2	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/fonts/montserrat/Montserrat-Bold.html	(from http://egotype.design/work/web/html/kounter/css/style.css)
14:17:33	54256/54256	---M--	200	added ('OK')	application/font-woff	etag:%22d3f0-548f230595680%22	http://egotype.design/work/web/html/kounter/fonts/montserrat/Montserrat-Bold.woff	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/fonts/montserrat/Montserrat-Bold.woff	(from http://egotype.design/work/web/html/kounter/css/style.css)
14:17:37	122528/122528	---M--	200	added ('OK')	application/font-sfnt	etag:%221dea0-548f2314d7a80%22	http://egotype.design/work/web/html/kounter/fonts/montserrat/Montserrat-ExtraLight.ttf	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/fonts/montserrat/Montserrat-ExtraLight.ttf	(from http://egotype.design/work/web/html/kounter/css/style.css)
14:17:45	119020/119020	---M--	200	added ('OK')	application/font-sfnt	etag:%221d0ec-548f232231a00%22	http://egotype.design/work/web/html/kounter/fonts/montserrat/Montserrat-Medium.ttf	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/fonts/montserrat/Montserrat-Medium.ttf	(from http://egotype.design/work/web/html/kounter/css/style.css)
14:17:54	117348/117348	---M--	200	added ('OK')	application/font-sfnt	etag:%221ca64-548f230965f80%22	http://egotype.design/work/web/html/kounter/fonts/montserrat/Montserrat-Bold.ttf	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/fonts/montserrat/Montserrat-Bold.ttf	(from http://egotype.design/work/web/html/kounter/css/style.css)
14:18:33	210516/210516	---M--	200	added ('OK')	image/jpeg	etag:%2233654-548f245452c40%22	http://egotype.design/work/web/html/kounter/images/page-image-4.jpg	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/images/page-image-4.jpg	(from http://egotype.design/work/web/html/kounter/css/style.css)
14:18:36	339590/339590	---M--	200	added ('OK')	image/jpeg	etag:%2252e86-548f248e7f580%22	http://egotype.design/work/web/html/kounter/images/page-image.jpg	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/images/page-image.jpg	(from http://egotype.design/work/web/html/kounter/css/style.css)
14:18:58	410286/410286	---M--	200	added ('OK')	image/jpeg	etag:%22642ae-548f245823540%22	http://egotype.design/work/web/html/kounter/images/page-image-3.jpg	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/images/page-image-3.jpg	(from http://egotype.design/work/web/html/kounter/css/style.css)
14:19:09	509543/509543	---M--	200	added ('OK')	image/jpeg	etag:%227c667-548f243f57ac0%22	http://egotype.design/work/web/html/kounter/images/page-image-2.jpg	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/images/page-image-2.jpg	(from http://egotype.design/work/web/html/kounter/css/style.css)
14:19:42	372862/372862	---M--	200	added ('OK')	image/jpeg	etag:%225b07e-548f24b0d4680%22	http://egotype.design/work/web/html/kounter/images/page-slide-1.jpg	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/images/page-slide-1.jpg	(from http://egotype.design/work/web/html/kounter/css/style.css)
14:19:45	257007/257007	---M--	200	added ('OK')	image/jpeg	etag:%223ebef-548f24c8abec0%22	http://egotype.design/work/web/html/kounter/images/page-slide-2.jpg	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/images/page-slide-2.jpg	(from http://egotype.design/work/web/html/kounter/css/style.css)
14:20:09	339590/339590	---M--	200	added ('OK')	image/jpeg	etag:%2252e86-548f24e918b40%22	http://egotype.design/work/web/html/kounter/images/page-slide-3.jpg	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/images/page-slide-3.jpg	(from http://egotype.design/work/web/html/kounter/css/style.css)
14:21:55	1902947/1902947	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%221d0963-548f2505b4ec0%22	http://egotype.design/work/web/html/kounter/images/page-image-bw.jpg	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/images/page-image-bw.jpg	(from http://egotype.design/work/web/html/kounter/css/style.css)
